name;idProject;idActivity;activity type;status;planning mode
Autobank;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Cheque;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Riba;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Emails;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Reportes;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Reuniones;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
Training;14;<<Italia > SAP E01>>;Task;recorded;as soon as possible
FEBAN;14;<<Italia > SAP PP2>>;Task;recorded;as soon as possible
Riba;14;<<Italia > SAP PP2>>;Task;recorded;as soon as possible
Emails;14;<<Italia > SAP PP2>>;Task;recorded;as soon as possible
Reuniones;14;<<Italia > SAP PP2>>;Task;recorded;as soon as possible
Training;14;<<Italia > SAP PP2>>;Task;recorded;as soon as possible
Autobank;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Cheque/BOE;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Emails;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Reportes;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Reuniones;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
Training;14;<<Francia > SAP E01>>;Task;recorded;as soon as possible
FEBAN;14;<<Francia > SAP PER>>;Task;recorded;as soon as possible
Emails;14;<<Francia > SAP PER>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Francia > SAP PER>>;Task;recorded;as soon as possible
Reuniones;14;<<Francia > SAP PER>>;Task;recorded;as soon as possible
Training;14;<<Francia > SAP PER>>;Task;recorded;as soon as possible
FEBAN;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
Cheque;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
DD;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
Emails;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
Reuniones;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
Training;14;<<Francia > SAP P02>>;Task;recorded;as soon as possible
FEBAN;14;<<Francia > Navision>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Francia > Navision>>;Task;recorded;as soon as possible
Reuniones;14;<<Francia > Navision>>;Task;recorded;as soon as possible
Training;14;<<Francia > Navision>>;Task;recorded;as soon as possible
FEBAN;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Cheque;14;<<España > SAP E01>>;Task;recorded;as soon as possible
DD;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Emails;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Conciliaciones;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Reportes;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Reuniones;14;<<España > SAP E01>>;Task;recorded;as soon as possible
Training;14;<<España > SAP E01>>;Task;recorded;as soon as possible
FEBAN;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Cheque;14;<<España > SAP PER>>;Task;recorded;as soon as possible
DD;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Emails;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Conciliaciones;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Reportes;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Reuniones;14;<<España > SAP PER>>;Task;recorded;as soon as possible
Training;14;<<España > SAP PER>>;Task;recorded;as soon as possible
FEBAN;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Cheque;14;<<España > SAP P02>>;Task;recorded;as soon as possible
DD;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Emails;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Conciliaciones;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Reportes;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Reuniones;14;<<España > SAP P02>>;Task;recorded;as soon as possible
Training;14;<<España > SAP P02>>;Task;recorded;as soon as possible
FEBAN;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
DD;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
Emails;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
Reportes;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
Reuniones;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
Training;14;<<Portugal > SAP P02>>;Task;recorded;as soon as possible
FEBAN;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
Emails;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
Reportes;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
Reuniones;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
Training;14;<<Portugal > SAP PER>>;Task;recorded;as soon as possible
FEBAN;14;<<Portugal > SAP GP1>>;Task;recorded;as soon as possible
Emails;14;<<Portugal > SAP GP1>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Portugal > SAP GP1>>;Task;recorded;as soon as possible
Reuniones;14;<<Portugal > SAP GP1>>;Task;recorded;as soon as possible
Training;14;<<Portugal > SAP GP1>>;Task;recorded;as soon as possible
Autobank;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Cheque/BOE/Encaissement;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Emails;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Reportes;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Reuniones;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
Training;14;<<Marruecos > SAP E01>>;Task;recorded;as soon as possible
FEBAN;14;<<Marruecos > SAP PER>>;Task;recorded;as soon as possible
Emails;14;<<Marruecos > SAP PER>>;Task;recorded;as soon as possible
Conciliaciones;14;<<Marruecos > SAP PER>>;Task;recorded;as soon as possible
Reuniones;14;<<Marruecos > SAP PER>>;Task;recorded;as soon as possible
Training;14;<<Marruecos > SAP PER>>;Task;recorded;as soon as possible
