id;name;status;responsible;result
521;Mailbox;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
520;Riba;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
519;SAP E01;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
356;Project - Robotic;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
177;Direct Debit;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
85;Check process;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
84;Navision FR;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
83;Sap GP1;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
82;Sap PER;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
81;Sap PP2 IT;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
80;Sap P02;closed;<<responsible resource id>>;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
