id;name;status;responsible;result
521;Mailbox;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
520;Riba;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
519;SAP E01;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
356;Project - Robotic;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
177;Direct Debit;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
85;Check process;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
84;Navision FR;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
83;Sap GP1;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
82;Sap PER;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
81;Sap PP2 IT;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
80;Sap P02;done;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
