id;name;status;responsible;result
521;Mailbox;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
520;Riba;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
519;SAP E01;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
356;Project - Robotic;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
177;Direct Debit;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
85;Check process;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
84;Navision FR;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
83;Sap GP1;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
82;Sap PER;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
81;Sap PP2 IT;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
80;Sap P02;closed;20;Superseded by the Country > System > Task tree (Collections restructure, 2026-08).
