idProject;refType;refId;idResource;rate
14;Activity;558;267;100
14;Activity;558;257;100
14;Activity;558;255;100
14;Activity;558;229;100
14;Activity;558;227;100
14;Activity;558;202;100
14;Activity;558;200;100
14;Activity;558;199;100
14;Activity;558;197;100
14;Activity;558;195;100
14;Activity;558;194;100
14;Activity;558;180;100
14;Activity;558;119;100
14;Activity;558;90;100
14;Activity;558;87;100
14;Activity;558;77;100
14;Activity;558;66;100
14;Activity;558;53;100
14;Activity;558;47;100
14;Activity;558;42;100
14;Activity;558;40;100
14;Activity;558;39;100
14;Activity;558;34;100
14;Activity;558;22;100
14;Activity;558;20;100
14;Activity;559;267;100
14;Activity;559;257;100
14;Activity;559;255;100
14;Activity;559;229;100
14;Activity;559;227;100
14;Activity;559;202;100
14;Activity;559;200;100
14;Activity;559;199;100
14;Activity;559;197;100
14;Activity;559;195;100
14;Activity;559;194;100
14;Activity;559;180;100
14;Activity;559;119;100
14;Activity;559;90;100
14;Activity;559;87;100
14;Activity;559;77;100
14;Activity;559;66;100
14;Activity;559;53;100
14;Activity;559;47;100
14;Activity;559;42;100
14;Activity;559;40;100
14;Activity;559;39;100
14;Activity;559;34;100
14;Activity;559;22;100
14;Activity;559;20;100
14;Activity;560;267;100
14;Activity;560;257;100
14;Activity;560;255;100
14;Activity;560;229;100
14;Activity;560;227;100
14;Activity;560;202;100
14;Activity;560;200;100
14;Activity;560;199;100
14;Activity;560;197;100
14;Activity;560;195;100
14;Activity;560;194;100
14;Activity;560;180;100
14;Activity;560;119;100
14;Activity;560;90;100
14;Activity;560;87;100
14;Activity;560;77;100
14;Activity;560;66;100
14;Activity;560;53;100
14;Activity;560;47;100
14;Activity;560;42;100
14;Activity;560;40;100
14;Activity;560;39;100
14;Activity;560;34;100
14;Activity;560;22;100
14;Activity;560;20;100
14;Activity;561;267;100
14;Activity;561;257;100
14;Activity;561;255;100
14;Activity;561;229;100
14;Activity;561;227;100
14;Activity;561;202;100
14;Activity;561;200;100
14;Activity;561;199;100
14;Activity;561;197;100
14;Activity;561;195;100
14;Activity;561;194;100
14;Activity;561;180;100
14;Activity;561;119;100
14;Activity;561;90;100
14;Activity;561;87;100
14;Activity;561;77;100
14;Activity;561;66;100
14;Activity;561;53;100
14;Activity;561;47;100
14;Activity;561;42;100
14;Activity;561;40;100
14;Activity;561;39;100
14;Activity;561;34;100
14;Activity;561;22;100
14;Activity;561;20;100
14;Activity;562;267;100
14;Activity;562;257;100
14;Activity;562;255;100
14;Activity;562;229;100
14;Activity;562;227;100
14;Activity;562;202;100
14;Activity;562;200;100
14;Activity;562;199;100
14;Activity;562;197;100
14;Activity;562;195;100
14;Activity;562;194;100
14;Activity;562;180;100
14;Activity;562;119;100
14;Activity;562;90;100
14;Activity;562;87;100
14;Activity;562;77;100
14;Activity;562;66;100
14;Activity;562;53;100
14;Activity;562;47;100
14;Activity;562;42;100
14;Activity;562;40;100
14;Activity;562;39;100
14;Activity;562;34;100
14;Activity;562;22;100
14;Activity;562;20;100
14;Activity;563;267;100
14;Activity;563;257;100
14;Activity;563;255;100
14;Activity;563;229;100
14;Activity;563;227;100
14;Activity;563;202;100
14;Activity;563;200;100
14;Activity;563;199;100
14;Activity;563;197;100
14;Activity;563;195;100
14;Activity;563;194;100
14;Activity;563;180;100
14;Activity;563;119;100
14;Activity;563;90;100
14;Activity;563;87;100
14;Activity;563;77;100
14;Activity;563;66;100
14;Activity;563;53;100
14;Activity;563;47;100
14;Activity;563;42;100
14;Activity;563;40;100
14;Activity;563;39;100
14;Activity;563;34;100
14;Activity;563;22;100
14;Activity;563;20;100
14;Activity;564;267;100
14;Activity;564;257;100
14;Activity;564;255;100
14;Activity;564;229;100
14;Activity;564;227;100
14;Activity;564;202;100
14;Activity;564;200;100
14;Activity;564;199;100
14;Activity;564;197;100
14;Activity;564;195;100
14;Activity;564;194;100
14;Activity;564;180;100
14;Activity;564;119;100
14;Activity;564;90;100
14;Activity;564;87;100
14;Activity;564;77;100
14;Activity;564;66;100
14;Activity;564;53;100
14;Activity;564;47;100
14;Activity;564;42;100
14;Activity;564;40;100
14;Activity;564;39;100
14;Activity;564;34;100
14;Activity;564;22;100
14;Activity;564;20;100
14;Activity;565;267;100
14;Activity;565;257;100
14;Activity;565;255;100
14;Activity;565;229;100
14;Activity;565;227;100
14;Activity;565;202;100
14;Activity;565;200;100
14;Activity;565;199;100
14;Activity;565;197;100
14;Activity;565;195;100
14;Activity;565;194;100
14;Activity;565;180;100
14;Activity;565;119;100
14;Activity;565;90;100
14;Activity;565;87;100
14;Activity;565;77;100
14;Activity;565;66;100
14;Activity;565;53;100
14;Activity;565;47;100
14;Activity;565;42;100
14;Activity;565;40;100
14;Activity;565;39;100
14;Activity;565;34;100
14;Activity;565;22;100
14;Activity;565;20;100
14;Activity;566;267;100
14;Activity;566;257;100
14;Activity;566;255;100
14;Activity;566;229;100
14;Activity;566;227;100
14;Activity;566;202;100
14;Activity;566;200;100
14;Activity;566;199;100
14;Activity;566;197;100
14;Activity;566;195;100
14;Activity;566;194;100
14;Activity;566;180;100
14;Activity;566;119;100
14;Activity;566;90;100
14;Activity;566;87;100
14;Activity;566;77;100
14;Activity;566;66;100
14;Activity;566;53;100
14;Activity;566;47;100
14;Activity;566;42;100
14;Activity;566;40;100
14;Activity;566;39;100
14;Activity;566;34;100
14;Activity;566;22;100
14;Activity;566;20;100
14;Activity;567;267;100
14;Activity;567;257;100
14;Activity;567;255;100
14;Activity;567;229;100
14;Activity;567;227;100
14;Activity;567;202;100
14;Activity;567;200;100
14;Activity;567;199;100
14;Activity;567;197;100
14;Activity;567;195;100
14;Activity;567;194;100
14;Activity;567;180;100
14;Activity;567;119;100
14;Activity;567;90;100
14;Activity;567;87;100
14;Activity;567;77;100
14;Activity;567;66;100
14;Activity;567;53;100
14;Activity;567;47;100
14;Activity;567;42;100
14;Activity;567;40;100
14;Activity;567;39;100
14;Activity;567;34;100
14;Activity;567;22;100
14;Activity;567;20;100
14;Activity;568;267;100
14;Activity;568;257;100
14;Activity;568;255;100
14;Activity;568;229;100
14;Activity;568;227;100
14;Activity;568;202;100
14;Activity;568;200;100
14;Activity;568;199;100
14;Activity;568;197;100
14;Activity;568;195;100
14;Activity;568;194;100
14;Activity;568;180;100
14;Activity;568;119;100
14;Activity;568;90;100
14;Activity;568;87;100
14;Activity;568;77;100
14;Activity;568;66;100
14;Activity;568;53;100
14;Activity;568;47;100
14;Activity;568;42;100
14;Activity;568;40;100
14;Activity;568;39;100
14;Activity;568;34;100
14;Activity;568;22;100
14;Activity;568;20;100
14;Activity;569;267;100
14;Activity;569;257;100
14;Activity;569;255;100
14;Activity;569;229;100
14;Activity;569;227;100
14;Activity;569;202;100
14;Activity;569;200;100
14;Activity;569;199;100
14;Activity;569;197;100
14;Activity;569;195;100
14;Activity;569;194;100
14;Activity;569;180;100
14;Activity;569;119;100
14;Activity;569;90;100
14;Activity;569;87;100
14;Activity;569;77;100
14;Activity;569;66;100
14;Activity;569;53;100
14;Activity;569;47;100
14;Activity;569;42;100
14;Activity;569;40;100
14;Activity;569;39;100
14;Activity;569;34;100
14;Activity;569;22;100
14;Activity;569;20;100
14;Activity;570;267;100
14;Activity;570;257;100
14;Activity;570;255;100
14;Activity;570;229;100
14;Activity;570;227;100
14;Activity;570;202;100
14;Activity;570;200;100
14;Activity;570;199;100
14;Activity;570;197;100
14;Activity;570;195;100
14;Activity;570;194;100
14;Activity;570;180;100
14;Activity;570;119;100
14;Activity;570;90;100
14;Activity;570;87;100
14;Activity;570;77;100
14;Activity;570;66;100
14;Activity;570;53;100
14;Activity;570;47;100
14;Activity;570;42;100
14;Activity;570;40;100
14;Activity;570;39;100
14;Activity;570;34;100
14;Activity;570;22;100
14;Activity;570;20;100
14;Activity;571;267;100
14;Activity;571;257;100
14;Activity;571;255;100
14;Activity;571;229;100
14;Activity;571;227;100
14;Activity;571;202;100
14;Activity;571;200;100
14;Activity;571;199;100
14;Activity;571;197;100
14;Activity;571;195;100
14;Activity;571;194;100
14;Activity;571;180;100
14;Activity;571;119;100
14;Activity;571;90;100
14;Activity;571;87;100
14;Activity;571;77;100
14;Activity;571;66;100
14;Activity;571;53;100
14;Activity;571;47;100
14;Activity;571;42;100
14;Activity;571;40;100
14;Activity;571;39;100
14;Activity;571;34;100
14;Activity;571;22;100
14;Activity;571;20;100
14;Activity;572;267;100
14;Activity;572;257;100
14;Activity;572;255;100
14;Activity;572;229;100
14;Activity;572;227;100
14;Activity;572;202;100
14;Activity;572;200;100
14;Activity;572;199;100
14;Activity;572;197;100
14;Activity;572;195;100
14;Activity;572;194;100
14;Activity;572;180;100
14;Activity;572;119;100
14;Activity;572;90;100
14;Activity;572;87;100
14;Activity;572;77;100
14;Activity;572;66;100
14;Activity;572;53;100
14;Activity;572;47;100
14;Activity;572;42;100
14;Activity;572;40;100
14;Activity;572;39;100
14;Activity;572;34;100
14;Activity;572;22;100
14;Activity;572;20;100
14;Activity;573;267;100
14;Activity;573;257;100
14;Activity;573;255;100
14;Activity;573;229;100
14;Activity;573;227;100
14;Activity;573;202;100
14;Activity;573;200;100
14;Activity;573;199;100
14;Activity;573;197;100
14;Activity;573;195;100
14;Activity;573;194;100
14;Activity;573;180;100
14;Activity;573;119;100
14;Activity;573;90;100
14;Activity;573;87;100
14;Activity;573;77;100
14;Activity;573;66;100
14;Activity;573;53;100
14;Activity;573;47;100
14;Activity;573;42;100
14;Activity;573;40;100
14;Activity;573;39;100
14;Activity;573;34;100
14;Activity;573;22;100
14;Activity;573;20;100
14;Activity;574;267;100
14;Activity;574;257;100
14;Activity;574;255;100
14;Activity;574;229;100
14;Activity;574;227;100
14;Activity;574;202;100
14;Activity;574;200;100
14;Activity;574;199;100
14;Activity;574;197;100
14;Activity;574;195;100
14;Activity;574;194;100
14;Activity;574;180;100
14;Activity;574;119;100
14;Activity;574;90;100
14;Activity;574;87;100
14;Activity;574;77;100
14;Activity;574;66;100
14;Activity;574;53;100
14;Activity;574;47;100
14;Activity;574;42;100
14;Activity;574;40;100
14;Activity;574;39;100
14;Activity;574;34;100
14;Activity;574;22;100
14;Activity;574;20;100
14;Activity;575;267;100
14;Activity;575;257;100
14;Activity;575;255;100
14;Activity;575;229;100
14;Activity;575;227;100
14;Activity;575;202;100
14;Activity;575;200;100
14;Activity;575;199;100
14;Activity;575;197;100
14;Activity;575;195;100
14;Activity;575;194;100
14;Activity;575;180;100
14;Activity;575;119;100
14;Activity;575;90;100
14;Activity;575;87;100
14;Activity;575;77;100
14;Activity;575;66;100
14;Activity;575;53;100
14;Activity;575;47;100
14;Activity;575;42;100
14;Activity;575;40;100
14;Activity;575;39;100
14;Activity;575;34;100
14;Activity;575;22;100
14;Activity;575;20;100
14;Activity;576;267;100
14;Activity;576;257;100
14;Activity;576;255;100
14;Activity;576;229;100
14;Activity;576;227;100
14;Activity;576;202;100
14;Activity;576;200;100
14;Activity;576;199;100
14;Activity;576;197;100
14;Activity;576;195;100
14;Activity;576;194;100
14;Activity;576;180;100
14;Activity;576;119;100
14;Activity;576;90;100
14;Activity;576;87;100
14;Activity;576;77;100
14;Activity;576;66;100
14;Activity;576;53;100
14;Activity;576;47;100
14;Activity;576;42;100
14;Activity;576;40;100
14;Activity;576;39;100
14;Activity;576;34;100
14;Activity;576;22;100
14;Activity;576;20;100
14;Activity;577;267;100
14;Activity;577;257;100
14;Activity;577;255;100
14;Activity;577;229;100
14;Activity;577;227;100
14;Activity;577;202;100
14;Activity;577;200;100
14;Activity;577;199;100
14;Activity;577;197;100
14;Activity;577;195;100
14;Activity;577;194;100
14;Activity;577;180;100
14;Activity;577;119;100
14;Activity;577;90;100
14;Activity;577;87;100
14;Activity;577;77;100
14;Activity;577;66;100
14;Activity;577;53;100
14;Activity;577;47;100
14;Activity;577;42;100
14;Activity;577;40;100
14;Activity;577;39;100
14;Activity;577;34;100
14;Activity;577;22;100
14;Activity;577;20;100
14;Activity;578;267;100
14;Activity;578;257;100
14;Activity;578;255;100
14;Activity;578;229;100
14;Activity;578;227;100
14;Activity;578;202;100
14;Activity;578;200;100
14;Activity;578;199;100
14;Activity;578;197;100
14;Activity;578;195;100
14;Activity;578;194;100
14;Activity;578;180;100
14;Activity;578;119;100
14;Activity;578;90;100
14;Activity;578;87;100
14;Activity;578;77;100
14;Activity;578;66;100
14;Activity;578;53;100
14;Activity;578;47;100
14;Activity;578;42;100
14;Activity;578;40;100
14;Activity;578;39;100
14;Activity;578;34;100
14;Activity;578;22;100
14;Activity;578;20;100
14;Activity;579;267;100
14;Activity;579;257;100
14;Activity;579;255;100
14;Activity;579;229;100
14;Activity;579;227;100
14;Activity;579;202;100
14;Activity;579;200;100
14;Activity;579;199;100
14;Activity;579;197;100
14;Activity;579;195;100
14;Activity;579;194;100
14;Activity;579;180;100
14;Activity;579;119;100
14;Activity;579;90;100
14;Activity;579;87;100
14;Activity;579;77;100
14;Activity;579;66;100
14;Activity;579;53;100
14;Activity;579;47;100
14;Activity;579;42;100
14;Activity;579;40;100
14;Activity;579;39;100
14;Activity;579;34;100
14;Activity;579;22;100
14;Activity;579;20;100
14;Activity;580;267;100
14;Activity;580;257;100
14;Activity;580;255;100
14;Activity;580;229;100
14;Activity;580;227;100
14;Activity;580;202;100
14;Activity;580;200;100
14;Activity;580;199;100
14;Activity;580;197;100
14;Activity;580;195;100
14;Activity;580;194;100
14;Activity;580;180;100
14;Activity;580;119;100
14;Activity;580;90;100
14;Activity;580;87;100
14;Activity;580;77;100
14;Activity;580;66;100
14;Activity;580;53;100
14;Activity;580;47;100
14;Activity;580;42;100
14;Activity;580;40;100
14;Activity;580;39;100
14;Activity;580;34;100
14;Activity;580;22;100
14;Activity;580;20;100
