idProject;refType;refId;idResource;rate
14;Activity;581;267;100
14;Activity;581;257;100
14;Activity;581;255;100
14;Activity;581;229;100
14;Activity;581;227;100
14;Activity;581;202;100
14;Activity;581;200;100
14;Activity;581;199;100
14;Activity;581;197;100
14;Activity;581;195;100
14;Activity;581;194;100
14;Activity;581;180;100
14;Activity;581;119;100
14;Activity;581;90;100
14;Activity;581;87;100
14;Activity;581;77;100
14;Activity;581;66;100
14;Activity;581;53;100
14;Activity;581;47;100
14;Activity;581;42;100
14;Activity;581;40;100
14;Activity;581;39;100
14;Activity;581;34;100
14;Activity;581;22;100
14;Activity;581;20;100
14;Activity;582;267;100
14;Activity;582;257;100
14;Activity;582;255;100
14;Activity;582;229;100
14;Activity;582;227;100
14;Activity;582;202;100
14;Activity;582;200;100
14;Activity;582;199;100
14;Activity;582;197;100
14;Activity;582;195;100
14;Activity;582;194;100
14;Activity;582;180;100
14;Activity;582;119;100
14;Activity;582;90;100
14;Activity;582;87;100
14;Activity;582;77;100
14;Activity;582;66;100
14;Activity;582;53;100
14;Activity;582;47;100
14;Activity;582;42;100
14;Activity;582;40;100
14;Activity;582;39;100
14;Activity;582;34;100
14;Activity;582;22;100
14;Activity;582;20;100
14;Activity;583;267;100
14;Activity;583;257;100
14;Activity;583;255;100
14;Activity;583;229;100
14;Activity;583;227;100
14;Activity;583;202;100
14;Activity;583;200;100
14;Activity;583;199;100
14;Activity;583;197;100
14;Activity;583;195;100
14;Activity;583;194;100
14;Activity;583;180;100
14;Activity;583;119;100
14;Activity;583;90;100
14;Activity;583;87;100
14;Activity;583;77;100
14;Activity;583;66;100
14;Activity;583;53;100
14;Activity;583;47;100
14;Activity;583;42;100
14;Activity;583;40;100
14;Activity;583;39;100
14;Activity;583;34;100
14;Activity;583;22;100
14;Activity;583;20;100
14;Activity;584;267;100
14;Activity;584;257;100
14;Activity;584;255;100
14;Activity;584;229;100
14;Activity;584;227;100
14;Activity;584;202;100
14;Activity;584;200;100
14;Activity;584;199;100
