idProject;refType;refId;idResource;rate
14;Activity;605;267;100
14;Activity;605;257;100
14;Activity;605;255;100
14;Activity;605;229;100
14;Activity;605;227;100
14;Activity;605;202;100
14;Activity;605;200;100
14;Activity;605;199;100
14;Activity;605;197;100
14;Activity;605;195;100
14;Activity;605;194;100
14;Activity;605;180;100
14;Activity;605;119;100
14;Activity;605;90;100
14;Activity;605;87;100
14;Activity;605;77;100
14;Activity;605;66;100
14;Activity;605;53;100
14;Activity;605;47;100
14;Activity;605;42;100
14;Activity;605;40;100
14;Activity;605;39;100
14;Activity;605;34;100
14;Activity;605;22;100
14;Activity;605;20;100
14;Activity;606;267;100
14;Activity;606;257;100
14;Activity;606;255;100
14;Activity;606;229;100
14;Activity;606;227;100
14;Activity;606;202;100
14;Activity;606;200;100
14;Activity;606;199;100
14;Activity;606;197;100
14;Activity;606;195;100
14;Activity;606;194;100
14;Activity;606;180;100
14;Activity;606;119;100
14;Activity;606;90;100
14;Activity;606;87;100
14;Activity;606;77;100
14;Activity;606;66;100
14;Activity;606;53;100
14;Activity;606;47;100
14;Activity;606;42;100
14;Activity;606;40;100
14;Activity;606;39;100
14;Activity;606;34;100
14;Activity;606;22;100
14;Activity;606;20;100
14;Activity;607;267;100
14;Activity;607;257;100
14;Activity;607;255;100
14;Activity;607;229;100
14;Activity;607;227;100
14;Activity;607;202;100
14;Activity;607;200;100
14;Activity;607;199;100
14;Activity;607;197;100
14;Activity;607;195;100
14;Activity;607;194;100
14;Activity;607;180;100
14;Activity;607;119;100
14;Activity;607;90;100
14;Activity;607;87;100
14;Activity;607;77;100
14;Activity;607;66;100
14;Activity;607;53;100
14;Activity;607;47;100
14;Activity;607;42;100
14;Activity;607;40;100
14;Activity;607;39;100
14;Activity;607;34;100
14;Activity;607;22;100
14;Activity;607;20;100
14;Activity;608;267;100
14;Activity;608;257;100
14;Activity;608;255;100
14;Activity;608;229;100
14;Activity;608;227;100
14;Activity;608;202;100
14;Activity;608;200;100
14;Activity;608;199;100
14;Activity;608;197;100
14;Activity;608;195;100
14;Activity;608;194;100
14;Activity;608;180;100
14;Activity;608;119;100
14;Activity;608;90;100
14;Activity;608;87;100
14;Activity;608;77;100
14;Activity;608;66;100
14;Activity;608;53;100
14;Activity;608;47;100
14;Activity;608;42;100
14;Activity;608;40;100
14;Activity;608;39;100
14;Activity;608;34;100
14;Activity;608;22;100
14;Activity;608;20;100
14;Activity;609;267;100
14;Activity;609;257;100
14;Activity;609;255;100
14;Activity;609;229;100
14;Activity;609;227;100
14;Activity;609;202;100
14;Activity;609;200;100
14;Activity;609;199;100
14;Activity;609;197;100
14;Activity;609;195;100
14;Activity;609;194;100
14;Activity;609;180;100
14;Activity;609;119;100
14;Activity;609;90;100
14;Activity;609;87;100
14;Activity;609;77;100
14;Activity;609;66;100
14;Activity;609;53;100
14;Activity;609;47;100
14;Activity;609;42;100
14;Activity;609;40;100
14;Activity;609;39;100
14;Activity;609;34;100
14;Activity;609;22;100
14;Activity;609;20;100
14;Activity;610;267;100
14;Activity;610;257;100
14;Activity;610;255;100
14;Activity;610;229;100
14;Activity;610;227;100
14;Activity;610;202;100
14;Activity;610;200;100
14;Activity;610;199;100
14;Activity;610;197;100
14;Activity;610;195;100
14;Activity;610;194;100
14;Activity;610;180;100
14;Activity;610;119;100
14;Activity;610;90;100
14;Activity;610;87;100
14;Activity;610;77;100
14;Activity;610;66;100
14;Activity;610;53;100
14;Activity;610;47;100
14;Activity;610;42;100
14;Activity;610;40;100
14;Activity;610;39;100
14;Activity;610;34;100
14;Activity;610;22;100
14;Activity;610;20;100
14;Activity;611;267;100
14;Activity;611;257;100
14;Activity;611;255;100
14;Activity;611;229;100
14;Activity;611;227;100
14;Activity;611;202;100
14;Activity;611;200;100
14;Activity;611;199;100
14;Activity;611;197;100
14;Activity;611;195;100
14;Activity;611;194;100
14;Activity;611;180;100
14;Activity;611;119;100
14;Activity;611;90;100
14;Activity;611;87;100
14;Activity;611;77;100
14;Activity;611;66;100
14;Activity;611;53;100
14;Activity;611;47;100
14;Activity;611;42;100
14;Activity;611;40;100
14;Activity;611;39;100
14;Activity;611;34;100
14;Activity;611;22;100
14;Activity;611;20;100
14;Activity;612;267;100
14;Activity;612;257;100
14;Activity;612;255;100
14;Activity;612;229;100
14;Activity;612;227;100
14;Activity;612;202;100
14;Activity;612;200;100
14;Activity;612;199;100
14;Activity;612;197;100
14;Activity;612;195;100
14;Activity;612;194;100
14;Activity;612;180;100
14;Activity;612;119;100
14;Activity;612;90;100
14;Activity;612;87;100
14;Activity;612;77;100
14;Activity;612;66;100
14;Activity;612;53;100
14;Activity;612;47;100
14;Activity;612;42;100
14;Activity;612;40;100
14;Activity;612;39;100
14;Activity;612;34;100
14;Activity;612;22;100
14;Activity;612;20;100
14;Activity;613;267;100
14;Activity;613;257;100
14;Activity;613;255;100
14;Activity;613;229;100
14;Activity;613;227;100
14;Activity;613;202;100
14;Activity;613;200;100
14;Activity;613;199;100
14;Activity;613;197;100
14;Activity;613;195;100
14;Activity;613;194;100
14;Activity;613;180;100
14;Activity;613;119;100
14;Activity;613;90;100
14;Activity;613;87;100
14;Activity;613;77;100
14;Activity;613;66;100
14;Activity;613;53;100
14;Activity;613;47;100
14;Activity;613;42;100
14;Activity;613;40;100
14;Activity;613;39;100
14;Activity;613;34;100
14;Activity;613;22;100
14;Activity;613;20;100
14;Activity;614;267;100
14;Activity;614;257;100
14;Activity;614;255;100
14;Activity;614;229;100
14;Activity;614;227;100
14;Activity;614;202;100
14;Activity;614;200;100
14;Activity;614;199;100
14;Activity;614;197;100
14;Activity;614;195;100
14;Activity;614;194;100
14;Activity;614;180;100
14;Activity;614;119;100
14;Activity;614;90;100
14;Activity;614;87;100
14;Activity;614;77;100
14;Activity;614;66;100
14;Activity;614;53;100
14;Activity;614;47;100
14;Activity;614;42;100
14;Activity;614;40;100
14;Activity;614;39;100
14;Activity;614;34;100
14;Activity;614;22;100
14;Activity;614;20;100
14;Activity;615;267;100
14;Activity;615;257;100
14;Activity;615;255;100
14;Activity;615;229;100
14;Activity;615;227;100
14;Activity;615;202;100
14;Activity;615;200;100
14;Activity;615;199;100
14;Activity;615;197;100
14;Activity;615;195;100
14;Activity;615;194;100
14;Activity;615;180;100
14;Activity;615;119;100
14;Activity;615;90;100
14;Activity;615;87;100
14;Activity;615;77;100
14;Activity;615;66;100
14;Activity;615;53;100
14;Activity;615;47;100
14;Activity;615;42;100
14;Activity;615;40;100
14;Activity;615;39;100
14;Activity;615;34;100
14;Activity;615;22;100
14;Activity;615;20;100
14;Activity;616;267;100
14;Activity;616;257;100
14;Activity;616;255;100
14;Activity;616;229;100
14;Activity;616;227;100
14;Activity;616;202;100
14;Activity;616;200;100
14;Activity;616;199;100
14;Activity;616;197;100
14;Activity;616;195;100
14;Activity;616;194;100
14;Activity;616;180;100
14;Activity;616;119;100
14;Activity;616;90;100
14;Activity;616;87;100
14;Activity;616;77;100
14;Activity;616;66;100
14;Activity;616;53;100
14;Activity;616;47;100
14;Activity;616;42;100
14;Activity;616;40;100
14;Activity;616;39;100
14;Activity;616;34;100
14;Activity;616;22;100
14;Activity;616;20;100
14;Activity;617;267;100
14;Activity;617;257;100
14;Activity;617;255;100
14;Activity;617;229;100
14;Activity;617;227;100
14;Activity;617;202;100
14;Activity;617;200;100
14;Activity;617;199;100
14;Activity;617;197;100
14;Activity;617;195;100
14;Activity;617;194;100
14;Activity;617;180;100
14;Activity;617;119;100
14;Activity;617;90;100
14;Activity;617;87;100
14;Activity;617;77;100
14;Activity;617;66;100
14;Activity;617;53;100
14;Activity;617;47;100
14;Activity;617;42;100
14;Activity;617;40;100
14;Activity;617;39;100
14;Activity;617;34;100
14;Activity;617;22;100
14;Activity;617;20;100
14;Activity;618;267;100
14;Activity;618;257;100
14;Activity;618;255;100
14;Activity;618;229;100
14;Activity;618;227;100
14;Activity;618;202;100
14;Activity;618;200;100
14;Activity;618;199;100
14;Activity;618;197;100
14;Activity;618;195;100
14;Activity;618;194;100
14;Activity;618;180;100
14;Activity;618;119;100
14;Activity;618;90;100
14;Activity;618;87;100
14;Activity;618;77;100
14;Activity;618;66;100
14;Activity;618;53;100
14;Activity;618;47;100
14;Activity;618;42;100
14;Activity;618;40;100
14;Activity;618;39;100
14;Activity;618;34;100
14;Activity;618;22;100
14;Activity;618;20;100
14;Activity;619;267;100
14;Activity;619;257;100
14;Activity;619;255;100
14;Activity;619;229;100
14;Activity;619;227;100
14;Activity;619;202;100
14;Activity;619;200;100
14;Activity;619;199;100
14;Activity;619;197;100
14;Activity;619;195;100
14;Activity;619;194;100
14;Activity;619;180;100
14;Activity;619;119;100
14;Activity;619;90;100
14;Activity;619;87;100
14;Activity;619;77;100
14;Activity;619;66;100
14;Activity;619;53;100
14;Activity;619;47;100
14;Activity;619;42;100
14;Activity;619;40;100
14;Activity;619;39;100
14;Activity;619;34;100
14;Activity;619;22;100
14;Activity;619;20;100
14;Activity;620;267;100
14;Activity;620;257;100
14;Activity;620;255;100
14;Activity;620;229;100
14;Activity;620;227;100
14;Activity;620;202;100
14;Activity;620;200;100
14;Activity;620;199;100
14;Activity;620;197;100
14;Activity;620;195;100
14;Activity;620;194;100
14;Activity;620;180;100
14;Activity;620;119;100
14;Activity;620;90;100
14;Activity;620;87;100
14;Activity;620;77;100
14;Activity;620;66;100
14;Activity;620;53;100
14;Activity;620;47;100
14;Activity;620;42;100
14;Activity;620;40;100
14;Activity;620;39;100
14;Activity;620;34;100
14;Activity;620;22;100
14;Activity;620;20;100
14;Activity;621;267;100
14;Activity;621;257;100
14;Activity;621;255;100
14;Activity;621;229;100
14;Activity;621;227;100
14;Activity;621;202;100
14;Activity;621;200;100
14;Activity;621;199;100
14;Activity;621;197;100
14;Activity;621;195;100
14;Activity;621;194;100
14;Activity;621;180;100
14;Activity;621;119;100
14;Activity;621;90;100
14;Activity;621;87;100
14;Activity;621;77;100
14;Activity;621;66;100
14;Activity;621;53;100
14;Activity;621;47;100
14;Activity;621;42;100
14;Activity;621;40;100
14;Activity;621;39;100
14;Activity;621;34;100
14;Activity;621;22;100
14;Activity;621;20;100
14;Activity;622;267;100
14;Activity;622;257;100
14;Activity;622;255;100
14;Activity;622;229;100
14;Activity;622;227;100
14;Activity;622;202;100
14;Activity;622;200;100
14;Activity;622;199;100
14;Activity;622;197;100
14;Activity;622;195;100
14;Activity;622;194;100
14;Activity;622;180;100
14;Activity;622;119;100
14;Activity;622;90;100
14;Activity;622;87;100
14;Activity;622;77;100
14;Activity;622;66;100
14;Activity;622;53;100
14;Activity;622;47;100
14;Activity;622;42;100
14;Activity;622;40;100
14;Activity;622;39;100
14;Activity;622;34;100
14;Activity;622;22;100
14;Activity;622;20;100
