idProject;refType;refId;idResource;rate
14;Activity;623;267;100
14;Activity;623;257;100
14;Activity;623;255;100
14;Activity;623;229;100
14;Activity;623;227;100
14;Activity;623;202;100
14;Activity;623;200;100
14;Activity;623;199;100
14;Activity;623;197;100
14;Activity;623;195;100
14;Activity;623;194;100
14;Activity;623;180;100
14;Activity;623;119;100
14;Activity;623;90;100
14;Activity;623;87;100
14;Activity;623;77;100
14;Activity;623;66;100
14;Activity;623;53;100
14;Activity;623;47;100
14;Activity;623;42;100
14;Activity;623;40;100
14;Activity;623;39;100
14;Activity;623;34;100
14;Activity;623;22;100
14;Activity;623;20;100
14;Activity;624;267;100
14;Activity;624;257;100
14;Activity;624;255;100
14;Activity;624;229;100
14;Activity;624;227;100
14;Activity;624;202;100
14;Activity;624;200;100
14;Activity;624;199;100
14;Activity;624;197;100
14;Activity;624;195;100
14;Activity;624;194;100
14;Activity;624;180;100
14;Activity;624;119;100
14;Activity;624;90;100
14;Activity;624;87;100
14;Activity;624;77;100
14;Activity;624;66;100
14;Activity;624;53;100
14;Activity;624;47;100
14;Activity;624;42;100
14;Activity;624;40;100
14;Activity;624;39;100
14;Activity;624;34;100
14;Activity;624;22;100
14;Activity;624;20;100
14;Activity;625;267;100
14;Activity;625;257;100
14;Activity;625;255;100
14;Activity;625;229;100
14;Activity;625;227;100
14;Activity;625;202;100
14;Activity;625;200;100
14;Activity;625;199;100
14;Activity;625;197;100
14;Activity;625;195;100
14;Activity;625;194;100
14;Activity;625;180;100
14;Activity;625;119;100
14;Activity;625;90;100
14;Activity;625;87;100
14;Activity;625;77;100
14;Activity;625;66;100
14;Activity;625;53;100
14;Activity;625;47;100
14;Activity;625;42;100
14;Activity;625;40;100
14;Activity;625;39;100
14;Activity;625;34;100
14;Activity;625;22;100
14;Activity;625;20;100
14;Activity;626;267;100
14;Activity;626;257;100
14;Activity;626;255;100
14;Activity;626;229;100
14;Activity;626;227;100
14;Activity;626;202;100
14;Activity;626;200;100
14;Activity;626;199;100
14;Activity;626;197;100
14;Activity;626;195;100
14;Activity;626;194;100
14;Activity;626;180;100
14;Activity;626;119;100
14;Activity;626;90;100
14;Activity;626;87;100
14;Activity;626;77;100
14;Activity;626;66;100
14;Activity;626;53;100
14;Activity;626;47;100
14;Activity;626;42;100
14;Activity;626;40;100
14;Activity;626;39;100
14;Activity;626;34;100
14;Activity;626;22;100
14;Activity;626;20;100
14;Activity;627;267;100
14;Activity;627;257;100
14;Activity;627;255;100
14;Activity;627;229;100
14;Activity;627;227;100
14;Activity;627;202;100
14;Activity;627;200;100
14;Activity;627;199;100
14;Activity;627;197;100
14;Activity;627;195;100
14;Activity;627;194;100
14;Activity;627;180;100
14;Activity;627;119;100
14;Activity;627;90;100
14;Activity;627;87;100
14;Activity;627;77;100
