id;name;type;is sub-project of;organization;category;client;invoice contact;standard calendar;project code;contract code;client code;sponsor;manager;issuer;creation date;last update;color;description;objectives;validated start date;planned start date;real start date;requested start date;validated end date;planned end date;real end date;requested end date;validated duration;planned duration;real duration;requested duration;validated work;assigned work;real work;left work;revised work;validated cost;assigned cost;real cost;left cost;revised cost;validated expenses;assigned expenses;real expenses;left expenses;revised expenses;risk reserve amount;total validated costs;total assigned costs;total real costs;total left costs;total revised costs;progress;expected;wbs;work margin;work margin (%);cost margin;cost margin (%);priority;strength;weakness;opportunity;threats;status;strategic value;return on investment;risk level;health status;quality level;trend;overall progress;fix planning;paused;non extendable project;allow reduction;under construction;exclude from global plan;validated work treatment;in progress;start date;done;done date;closed;closed date;cancelled;AM start time;AM end time;PM start time;PM end time;
28;"AP";"Internal";"";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"";2024-04-15;2026-02-17 10:15:47;"";"";"";;2024-01-22;2024-01-22;;;2027-02-04;;;;775;0;;0,00;0,00;22077,23;0,00;22077,23;;;;;;;;;;;;;;;;;100;0;"1";;;;;500;"";"";"";"";"done";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
3;"IB";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Raúl  Viñas Zamora";"";2024-02-01;2024-04-15 15:32:58;"#ffa500";"";"";;2024-01-25;2024-01-25;;;2026-08-06;;;;643;0;;0,00;0,00;3946,58;0,00;3946,58;;;;;;;;;;;;;;;;;100;0;"1.1";;;;;500;"";"";"";"";"verified";;;"";"";"";"";"";0;0;0;0;0;0;0;1;2024-04-02;0;;0;;0;;;;;
4;"UK";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Jenifer  Juaneda";"";2024-02-01;2024-04-15 15:32:59;"#ffa500";"";"";;2024-03-19;2024-03-19;;;2026-08-05;;;;604;0;;0,00;0,00;2985,11;0,00;2985,11;;;;;;;;;;;;;;;;;100;0;"1.2";;;;;500;"";"";"";"";"done";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
5;"DE";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"TEST DUMMY";2024-02-01;2026-02-17 09:44:16;"#ffa500";"";"";;2024-03-12;2024-03-12;;;2026-08-06;;;;610;0;;0,00;0,00;1752,68;0,00;1752,68;;;;;;;;;;;;;;;;;100;0;"1.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
7;"BE";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Elena  Carrascal";"";2024-02-01;2024-04-15 15:33:01;"#ffa500";"";"";;2024-03-27;2024-04-01;;;2026-08-05;;;;597;0;;0,00;0,00;1309,62;0,00;1309,62;;;;;;;;;;;;;;;;;100;0;"1.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
10;"FR";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Diana Garcia";"";2024-02-01;2024-04-15 15:33:02;"#ffa500";"";"";;2024-03-08;2024-03-08;;;2026-08-06;;;;612;0;;0,00;0,00;4170,11;0,00;4170,11;;;;;;;;;;;;;;;;;100;0;"1.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
8;"PS";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Alba  Fernandez Lopez";"";2024-02-01;2024-10-07 10:09:56;"#ffa500";"";"";;2024-03-19;2024-03-19;;;2026-08-04;;;;603;0;;0,00;0,00;2254,09;0,00;2254,09;;;;;;;;;;;;;;;;;100;0;"1.6";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
6;"IT";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"TEST DUMMY";2024-02-01;2026-02-17 09:44:16;"#ffa500";"";"";;2024-03-26;2024-03-26;;;2026-08-06;;;;600;0;;0,00;0,00;546,22;0,00;546,22;;;;;;;;;;;;;;;;;100;0;"1.7";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
39;"Management";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"Nieves Fraile";2024-04-15;2024-04-15 18:01:10;"";"";"";;;2024-04-12;;;2027-02-04;;;;718;0;;0,00;0,00;652,30;0,00;652,30;;;;;;;;;;;;;;;;;100;0;"1.8";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
68;"PMS-TMS";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Jenifer  Juaneda";"Nieves Fraile";2024-10-07;2024-10-07 09:57:33;"";"";"";;2024-03-27;2024-04-01;;;2026-07-31;;;;594;0;;0,00;0,00;767,72;0,00;767,72;;;;;;;;;;;;;;;;;100;0;"1.9";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
