name;idProject;idActivity;activity type;status;planning mode
Payment Run Issues;31;;Task;recorded;as soon as possible
Banks Issues;31;;Task;recorded;as soon as possible
Boarding;31;;Task;recorded;as soon as possible
Audit;31;;Task;recorded;as soon as possible
Proof of payment;31;;Task;recorded;as soon as possible
Payment Run Issues;32;;Task;recorded;as soon as possible
Banks Issues;32;;Task;recorded;as soon as possible
Boarding;32;;Task;recorded;as soon as possible
Audit;32;;Task;recorded;as soon as possible
Proof of payment;32;;Task;recorded;as soon as possible
Payment Run Issues;33;;Task;recorded;as soon as possible
Banks Issues;33;;Task;recorded;as soon as possible
Boarding;33;;Task;recorded;as soon as possible
Audit;33;;Task;recorded;as soon as possible
Proof of payment;33;;Task;recorded;as soon as possible
Payment Run Issues;34;;Task;recorded;as soon as possible
Banks Issues;34;;Task;recorded;as soon as possible
Boarding;34;;Task;recorded;as soon as possible
Audit;34;;Task;recorded;as soon as possible
Proof of payment;34;;Task;recorded;as soon as possible
Payment Run Issues;69;;Task;recorded;as soon as possible
Banks Issues;69;;Task;recorded;as soon as possible
Boarding;69;;Task;recorded;as soon as possible
Audit;69;;Task;recorded;as soon as possible
Proof of payment;69;;Task;recorded;as soon as possible
