id;name;status
442;Mailbox;closed
441;Mailbox;closed
440;Mailbox;closed
438;Mailbox;closed
355;Project - Robotic;closed
354;Project - Robotic;closed
353;Project - Robotic;closed
351;Project - Robotic;closed
176;Other Processes;closed
175;Other Processes;closed
174;Other Processes;closed
172;Other Processes;closed
169;Invoice check;closed
168;Invoice check;closed
167;Invoice check;closed
165;Invoice check;closed
162;Manual & Unplanned Payments;closed
161;Manual & Unplanned Payments;closed
160;Manual & Unplanned Payments;closed
158;Manual & Unplanned Payments;closed
65;Payment Run;closed
63;Payment Run;closed
62;Payment Run;closed
10;Payment Run;closed
