idProject;refType;refId;idResource;rate
32;Activity;641;267;100
32;Activity;641;257;100
32;Activity;641;255;100
32;Activity;641;229;100
32;Activity;641;227;100
32;Activity;641;202;100
32;Activity;641;200;100
32;Activity;641;199;100
32;Activity;641;197;100
32;Activity;641;195;100
32;Activity;641;194;100
32;Activity;641;180;100
32;Activity;641;119;100
32;Activity;641;90;100
32;Activity;641;87;100
32;Activity;641;77;100
32;Activity;641;66;100
32;Activity;641;53;100
32;Activity;641;47;100
32;Activity;641;42;100
32;Activity;641;40;100
32;Activity;641;39;100
32;Activity;641;34;100
32;Activity;641;22;100
32;Activity;641;20;100
32;Activity;642;267;100
32;Activity;642;257;100
32;Activity;642;255;100
32;Activity;642;229;100
32;Activity;642;227;100
32;Activity;642;202;100
32;Activity;642;200;100
32;Activity;642;199;100
32;Activity;642;197;100
32;Activity;642;195;100
32;Activity;642;194;100
32;Activity;642;180;100
32;Activity;642;119;100
32;Activity;642;90;100
32;Activity;642;87;100
32;Activity;642;77;100
32;Activity;642;66;100
32;Activity;642;53;100
32;Activity;642;47;100
32;Activity;642;42;100
32;Activity;642;40;100
32;Activity;642;39;100
32;Activity;642;34;100
32;Activity;642;22;100
32;Activity;642;20;100
32;Activity;643;267;100
32;Activity;643;257;100
32;Activity;643;255;100
32;Activity;643;229;100
32;Activity;643;227;100
32;Activity;643;202;100
32;Activity;643;200;100
32;Activity;643;199;100
32;Activity;643;197;100
32;Activity;643;195;100
32;Activity;643;194;100
32;Activity;643;180;100
32;Activity;643;119;100
32;Activity;643;90;100
32;Activity;643;87;100
32;Activity;643;77;100
32;Activity;643;66;100
32;Activity;643;53;100
32;Activity;643;47;100
32;Activity;643;42;100
32;Activity;643;40;100
32;Activity;643;39;100
32;Activity;643;34;100
32;Activity;643;22;100
32;Activity;643;20;100
32;Activity;644;267;100
32;Activity;644;257;100
32;Activity;644;255;100
32;Activity;644;229;100
32;Activity;644;227;100
32;Activity;644;202;100
32;Activity;644;200;100
32;Activity;644;199;100
32;Activity;644;197;100
32;Activity;644;195;100
32;Activity;644;194;100
32;Activity;644;180;100
32;Activity;644;119;100
32;Activity;644;90;100
32;Activity;644;87;100
32;Activity;644;77;100
32;Activity;644;66;100
32;Activity;644;53;100
32;Activity;644;47;100
32;Activity;644;42;100
32;Activity;644;40;100
32;Activity;644;39;100
32;Activity;644;34;100
32;Activity;644;22;100
32;Activity;644;20;100
32;Activity;645;267;100
32;Activity;645;257;100
32;Activity;645;255;100
32;Activity;645;229;100
32;Activity;645;227;100
32;Activity;645;202;100
32;Activity;645;200;100
32;Activity;645;199;100
32;Activity;645;197;100
32;Activity;645;195;100
32;Activity;645;194;100
32;Activity;645;180;100
32;Activity;645;119;100
32;Activity;645;90;100
32;Activity;645;87;100
32;Activity;645;77;100
32;Activity;645;66;100
32;Activity;645;53;100
32;Activity;645;47;100
32;Activity;645;42;100
32;Activity;645;40;100
32;Activity;645;39;100
32;Activity;645;34;100
32;Activity;645;22;100
32;Activity;645;20;100
