idProject;refType;refId;idResource;rate
33;Activity;646;267;100
33;Activity;646;257;100
33;Activity;646;255;100
33;Activity;646;229;100
33;Activity;646;227;100
33;Activity;646;202;100
33;Activity;646;200;100
33;Activity;646;199;100
33;Activity;646;197;100
33;Activity;646;195;100
33;Activity;646;194;100
33;Activity;646;180;100
33;Activity;646;119;100
33;Activity;646;90;100
33;Activity;646;87;100
33;Activity;646;77;100
33;Activity;646;66;100
33;Activity;646;53;100
33;Activity;646;47;100
33;Activity;646;42;100
33;Activity;646;40;100
33;Activity;646;39;100
33;Activity;646;34;100
33;Activity;646;22;100
33;Activity;646;20;100
33;Activity;647;267;100
33;Activity;647;257;100
33;Activity;647;255;100
33;Activity;647;229;100
33;Activity;647;227;100
33;Activity;647;202;100
33;Activity;647;200;100
33;Activity;647;199;100
33;Activity;647;197;100
33;Activity;647;195;100
33;Activity;647;194;100
33;Activity;647;180;100
33;Activity;647;119;100
33;Activity;647;90;100
33;Activity;647;87;100
33;Activity;647;77;100
33;Activity;647;66;100
33;Activity;647;53;100
33;Activity;647;47;100
33;Activity;647;42;100
33;Activity;647;40;100
33;Activity;647;39;100
33;Activity;647;34;100
33;Activity;647;22;100
33;Activity;647;20;100
33;Activity;648;267;100
33;Activity;648;257;100
33;Activity;648;255;100
33;Activity;648;229;100
33;Activity;648;227;100
33;Activity;648;202;100
33;Activity;648;200;100
33;Activity;648;199;100
33;Activity;648;197;100
33;Activity;648;195;100
33;Activity;648;194;100
33;Activity;648;180;100
33;Activity;648;119;100
33;Activity;648;90;100
33;Activity;648;87;100
33;Activity;648;77;100
33;Activity;648;66;100
33;Activity;648;53;100
33;Activity;648;47;100
33;Activity;648;42;100
33;Activity;648;40;100
33;Activity;648;39;100
33;Activity;648;34;100
33;Activity;648;22;100
33;Activity;648;20;100
33;Activity;649;267;100
33;Activity;649;257;100
33;Activity;649;255;100
33;Activity;649;229;100
33;Activity;649;227;100
33;Activity;649;202;100
33;Activity;649;200;100
33;Activity;649;199;100
33;Activity;649;197;100
33;Activity;649;195;100
33;Activity;649;194;100
33;Activity;649;180;100
33;Activity;649;119;100
33;Activity;649;90;100
33;Activity;649;87;100
33;Activity;649;77;100
33;Activity;649;66;100
33;Activity;649;53;100
33;Activity;649;47;100
33;Activity;649;42;100
33;Activity;649;40;100
33;Activity;649;39;100
33;Activity;649;34;100
33;Activity;649;22;100
33;Activity;649;20;100
33;Activity;650;267;100
33;Activity;650;257;100
33;Activity;650;255;100
33;Activity;650;229;100
33;Activity;650;227;100
33;Activity;650;202;100
33;Activity;650;200;100
33;Activity;650;199;100
33;Activity;650;197;100
33;Activity;650;195;100
33;Activity;650;194;100
33;Activity;650;180;100
33;Activity;650;119;100
33;Activity;650;90;100
33;Activity;650;87;100
33;Activity;650;77;100
33;Activity;650;66;100
33;Activity;650;53;100
33;Activity;650;47;100
33;Activity;650;42;100
33;Activity;650;40;100
33;Activity;650;39;100
33;Activity;650;34;100
33;Activity;650;22;100
33;Activity;650;20;100
33;Activity;765;267;100
33;Activity;765;257;100
33;Activity;765;255;100
33;Activity;765;229;100
33;Activity;765;227;100
33;Activity;765;202;100
33;Activity;765;200;100
33;Activity;765;199;100
33;Activity;765;197;100
33;Activity;765;195;100
33;Activity;765;194;100
33;Activity;765;180;100
33;Activity;765;119;100
33;Activity;765;90;100
33;Activity;765;87;100
33;Activity;765;77;100
33;Activity;765;66;100
33;Activity;765;53;100
33;Activity;765;47;100
33;Activity;765;42;100
33;Activity;765;40;100
33;Activity;765;39;100
33;Activity;765;34;100
33;Activity;765;22;100
33;Activity;765;20;100
33;Activity;766;267;100
33;Activity;766;257;100
33;Activity;766;255;100
33;Activity;766;229;100
33;Activity;766;227;100
33;Activity;766;202;100
33;Activity;766;200;100
33;Activity;766;199;100
33;Activity;766;197;100
33;Activity;766;195;100
33;Activity;766;194;100
33;Activity;766;180;100
33;Activity;766;119;100
33;Activity;766;90;100
33;Activity;766;87;100
33;Activity;766;77;100
33;Activity;766;66;100
33;Activity;766;53;100
33;Activity;766;47;100
33;Activity;766;42;100
33;Activity;766;40;100
33;Activity;766;39;100
33;Activity;766;34;100
33;Activity;766;22;100
33;Activity;766;20;100
33;Activity;767;267;100
33;Activity;767;257;100
33;Activity;767;255;100
33;Activity;767;229;100
33;Activity;767;227;100
33;Activity;767;202;100
33;Activity;767;200;100
33;Activity;767;199;100
33;Activity;767;197;100
33;Activity;767;195;100
33;Activity;767;194;100
33;Activity;767;180;100
33;Activity;767;119;100
33;Activity;767;90;100
33;Activity;767;87;100
