idProject;refType;refId;idResource;rate
34;Activity;651;267;100
34;Activity;651;257;100
34;Activity;651;255;100
34;Activity;651;229;100
34;Activity;651;227;100
34;Activity;651;202;100
34;Activity;651;200;100
34;Activity;651;199;100
34;Activity;651;197;100
34;Activity;651;195;100
34;Activity;651;194;100
34;Activity;651;180;100
34;Activity;651;119;100
34;Activity;651;90;100
34;Activity;651;87;100
34;Activity;651;77;100
34;Activity;651;66;100
34;Activity;651;53;100
34;Activity;651;47;100
34;Activity;651;42;100
34;Activity;651;40;100
34;Activity;651;39;100
34;Activity;651;34;100
34;Activity;651;22;100
34;Activity;651;20;100
34;Activity;652;267;100
34;Activity;652;257;100
34;Activity;652;255;100
34;Activity;652;229;100
34;Activity;652;227;100
34;Activity;652;202;100
34;Activity;652;200;100
34;Activity;652;199;100
34;Activity;652;197;100
34;Activity;652;195;100
34;Activity;652;194;100
34;Activity;652;180;100
34;Activity;652;119;100
34;Activity;652;90;100
34;Activity;652;87;100
34;Activity;652;77;100
34;Activity;652;66;100
34;Activity;652;53;100
34;Activity;652;47;100
34;Activity;652;42;100
34;Activity;652;40;100
34;Activity;652;39;100
34;Activity;652;34;100
34;Activity;652;22;100
34;Activity;652;20;100
34;Activity;653;267;100
34;Activity;653;257;100
34;Activity;653;255;100
34;Activity;653;229;100
34;Activity;653;227;100
34;Activity;653;202;100
34;Activity;653;200;100
34;Activity;653;199;100
34;Activity;653;197;100
34;Activity;653;195;100
34;Activity;653;194;100
34;Activity;653;180;100
34;Activity;653;119;100
34;Activity;653;90;100
34;Activity;653;87;100
34;Activity;653;77;100
34;Activity;653;66;100
34;Activity;653;53;100
34;Activity;653;47;100
34;Activity;653;42;100
34;Activity;653;40;100
34;Activity;653;39;100
34;Activity;653;34;100
34;Activity;653;22;100
34;Activity;653;20;100
34;Activity;654;267;100
34;Activity;654;257;100
34;Activity;654;255;100
34;Activity;654;229;100
34;Activity;654;227;100
34;Activity;654;202;100
34;Activity;654;200;100
34;Activity;654;199;100
34;Activity;654;197;100
34;Activity;654;195;100
34;Activity;654;194;100
34;Activity;654;180;100
34;Activity;654;119;100
34;Activity;654;90;100
34;Activity;654;87;100
34;Activity;654;77;100
34;Activity;654;66;100
34;Activity;654;53;100
34;Activity;654;47;100
34;Activity;654;42;100
34;Activity;654;40;100
34;Activity;654;39;100
34;Activity;654;34;100
34;Activity;654;22;100
34;Activity;654;20;100
34;Activity;655;267;100
34;Activity;655;257;100
34;Activity;655;255;100
34;Activity;655;229;100
34;Activity;655;227;100
34;Activity;655;202;100
34;Activity;655;200;100
34;Activity;655;199;100
34;Activity;655;197;100
34;Activity;655;195;100
34;Activity;655;194;100
34;Activity;655;180;100
34;Activity;655;119;100
34;Activity;655;90;100
34;Activity;655;87;100
34;Activity;655;77;100
34;Activity;655;66;100
34;Activity;655;53;100
34;Activity;655;47;100
34;Activity;655;42;100
34;Activity;655;40;100
34;Activity;655;39;100
34;Activity;655;34;100
34;Activity;655;22;100
34;Activity;655;20;100
