idProject;refType;refId;idResource;rate
35;Activity;673;267;100
35;Activity;673;257;100
35;Activity;673;255;100
35;Activity;673;229;100
35;Activity;673;227;100
35;Activity;673;202;100
35;Activity;673;200;100
35;Activity;673;199;100
35;Activity;673;197;100
35;Activity;673;195;100
35;Activity;673;194;100
35;Activity;673;180;100
35;Activity;673;119;100
35;Activity;673;90;100
35;Activity;673;87;100
35;Activity;673;77;100
35;Activity;673;66;100
35;Activity;673;53;100
35;Activity;673;47;100
35;Activity;673;42;100
35;Activity;673;40;100
35;Activity;673;39;100
35;Activity;673;34;100
35;Activity;673;22;100
35;Activity;673;20;100
35;Activity;674;267;100
35;Activity;674;257;100
35;Activity;674;255;100
35;Activity;674;229;100
35;Activity;674;227;100
35;Activity;674;202;100
35;Activity;674;200;100
35;Activity;674;199;100
35;Activity;674;197;100
35;Activity;674;195;100
35;Activity;674;194;100
35;Activity;674;180;100
35;Activity;674;119;100
35;Activity;674;90;100
35;Activity;674;87;100
35;Activity;674;77;100
35;Activity;674;66;100
35;Activity;674;53;100
35;Activity;674;47;100
35;Activity;674;42;100
35;Activity;674;40;100
35;Activity;674;39;100
35;Activity;674;34;100
35;Activity;674;22;100
35;Activity;674;20;100
35;Activity;675;267;100
35;Activity;675;257;100
35;Activity;675;255;100
35;Activity;675;229;100
35;Activity;675;227;100
35;Activity;675;202;100
35;Activity;675;200;100
35;Activity;675;199;100
35;Activity;675;197;100
35;Activity;675;195;100
35;Activity;675;194;100
35;Activity;675;180;100
35;Activity;675;119;100
35;Activity;675;90;100
35;Activity;675;87;100
35;Activity;675;77;100
35;Activity;675;66;100
35;Activity;675;53;100
35;Activity;675;47;100
35;Activity;675;42;100
35;Activity;675;40;100
35;Activity;675;39;100
35;Activity;675;34;100
35;Activity;675;22;100
35;Activity;675;20;100
35;Activity;676;267;100
35;Activity;676;257;100
35;Activity;676;255;100
35;Activity;676;229;100
35;Activity;676;227;100
35;Activity;676;202;100
35;Activity;676;200;100
35;Activity;676;199;100
35;Activity;676;197;100
35;Activity;676;195;100
35;Activity;676;194;100
35;Activity;676;180;100
35;Activity;676;119;100
35;Activity;676;90;100
35;Activity;676;87;100
35;Activity;676;77;100
35;Activity;676;66;100
35;Activity;676;53;100
35;Activity;676;47;100
35;Activity;676;42;100
35;Activity;676;40;100
35;Activity;676;39;100
35;Activity;676;34;100
35;Activity;676;22;100
35;Activity;676;20;100
35;Activity;677;267;100
35;Activity;677;257;100
35;Activity;677;255;100
35;Activity;677;229;100
35;Activity;677;227;100
35;Activity;677;202;100
35;Activity;677;200;100
35;Activity;677;199;100
35;Activity;677;197;100
35;Activity;677;195;100
35;Activity;677;194;100
35;Activity;677;180;100
35;Activity;677;119;100
35;Activity;677;90;100
35;Activity;677;87;100
35;Activity;677;77;100
35;Activity;677;66;100
35;Activity;677;53;100
35;Activity;677;47;100
35;Activity;677;42;100
35;Activity;677;40;100
35;Activity;677;39;100
35;Activity;677;34;100
35;Activity;677;22;100
35;Activity;677;20;100
35;Activity;678;267;100
35;Activity;678;257;100
35;Activity;678;255;100
35;Activity;678;229;100
35;Activity;678;227;100
35;Activity;678;202;100
35;Activity;678;200;100
35;Activity;678;199;100
35;Activity;678;197;100
35;Activity;678;195;100
35;Activity;678;194;100
35;Activity;678;180;100
35;Activity;678;119;100
35;Activity;678;90;100
35;Activity;678;87;100
35;Activity;678;77;100
35;Activity;678;66;100
35;Activity;678;53;100
35;Activity;678;47;100
35;Activity;678;42;100
35;Activity;678;40;100
35;Activity;678;39;100
35;Activity;678;34;100
35;Activity;678;22;100
35;Activity;678;20;100
35;Activity;679;267;100
35;Activity;679;257;100
35;Activity;679;255;100
35;Activity;679;229;100
35;Activity;679;227;100
35;Activity;679;202;100
35;Activity;679;200;100
35;Activity;679;199;100
35;Activity;679;197;100
35;Activity;679;195;100
35;Activity;679;194;100
35;Activity;679;180;100
35;Activity;679;119;100
35;Activity;679;90;100
35;Activity;679;87;100
35;Activity;679;77;100
35;Activity;679;66;100
35;Activity;679;53;100
35;Activity;679;47;100
35;Activity;679;42;100
35;Activity;679;40;100
35;Activity;679;39;100
35;Activity;679;34;100
35;Activity;679;22;100
35;Activity;679;20;100
35;Activity;680;267;100
35;Activity;680;257;100
35;Activity;680;255;100
35;Activity;680;229;100
35;Activity;680;227;100
35;Activity;680;202;100
35;Activity;680;200;100
35;Activity;680;199;100
35;Activity;680;197;100
35;Activity;680;195;100
35;Activity;680;194;100
35;Activity;680;180;100
35;Activity;680;119;100
35;Activity;680;90;100
35;Activity;680;87;100
35;Activity;680;77;100
35;Activity;680;66;100
35;Activity;680;53;100
35;Activity;680;47;100
35;Activity;680;42;100
35;Activity;680;40;100
35;Activity;680;39;100
35;Activity;680;34;100
35;Activity;680;22;100
35;Activity;680;20;100
35;Activity;681;267;100
35;Activity;681;257;100
35;Activity;681;255;100
35;Activity;681;229;100
35;Activity;681;227;100
35;Activity;681;202;100
35;Activity;681;200;100
35;Activity;681;199;100
35;Activity;681;197;100
35;Activity;681;195;100
35;Activity;681;194;100
35;Activity;681;180;100
35;Activity;681;119;100
35;Activity;681;90;100
35;Activity;681;87;100
35;Activity;681;77;100
35;Activity;681;66;100
35;Activity;681;53;100
35;Activity;681;47;100
35;Activity;681;42;100
35;Activity;681;40;100
35;Activity;681;39;100
35;Activity;681;34;100
35;Activity;681;22;100
35;Activity;681;20;100
35;Activity;682;267;100
