idProject;refType;refId;idResource;rate
36;Activity;695;267;100
36;Activity;695;257;100
36;Activity;695;255;100
36;Activity;695;229;100
36;Activity;695;227;100
36;Activity;695;202;100
36;Activity;695;200;100
36;Activity;695;199;100
36;Activity;695;197;100
36;Activity;695;195;100
36;Activity;695;194;100
36;Activity;695;180;100
36;Activity;695;119;100
36;Activity;695;90;100
36;Activity;695;87;100
36;Activity;695;77;100
36;Activity;695;66;100
36;Activity;695;53;100
36;Activity;695;47;100
36;Activity;695;42;100
36;Activity;695;40;100
36;Activity;695;39;100
36;Activity;695;34;100
36;Activity;695;22;100
36;Activity;695;20;100
36;Activity;696;267;100
36;Activity;696;257;100
36;Activity;696;255;100
36;Activity;696;229;100
36;Activity;696;227;100
36;Activity;696;202;100
36;Activity;696;200;100
36;Activity;696;199;100
36;Activity;696;197;100
36;Activity;696;195;100
36;Activity;696;194;100
36;Activity;696;180;100
36;Activity;696;119;100
36;Activity;696;90;100
36;Activity;696;87;100
36;Activity;696;77;100
36;Activity;696;66;100
36;Activity;696;53;100
36;Activity;696;47;100
36;Activity;696;42;100
36;Activity;696;40;100
36;Activity;696;39;100
36;Activity;696;34;100
36;Activity;696;22;100
36;Activity;696;20;100
36;Activity;697;267;100
36;Activity;697;257;100
36;Activity;697;255;100
36;Activity;697;229;100
36;Activity;697;227;100
36;Activity;697;202;100
36;Activity;697;200;100
36;Activity;697;199;100
36;Activity;697;197;100
36;Activity;697;195;100
36;Activity;697;194;100
36;Activity;697;180;100
36;Activity;697;119;100
36;Activity;697;90;100
36;Activity;697;87;100
36;Activity;697;77;100
36;Activity;697;66;100
36;Activity;697;53;100
36;Activity;697;47;100
36;Activity;697;42;100
36;Activity;697;40;100
36;Activity;697;39;100
36;Activity;697;34;100
36;Activity;697;22;100
36;Activity;697;20;100
36;Activity;698;267;100
36;Activity;698;257;100
36;Activity;698;255;100
36;Activity;698;229;100
36;Activity;698;227;100
36;Activity;698;202;100
36;Activity;698;200;100
36;Activity;698;199;100
36;Activity;698;197;100
36;Activity;698;195;100
36;Activity;698;194;100
36;Activity;698;180;100
36;Activity;698;119;100
36;Activity;698;90;100
36;Activity;698;87;100
36;Activity;698;77;100
36;Activity;698;66;100
36;Activity;698;53;100
36;Activity;698;47;100
36;Activity;698;42;100
36;Activity;698;40;100
36;Activity;698;39;100
36;Activity;698;34;100
36;Activity;698;22;100
36;Activity;698;20;100
36;Activity;699;267;100
36;Activity;699;257;100
36;Activity;699;255;100
36;Activity;699;229;100
36;Activity;699;227;100
36;Activity;699;202;100
36;Activity;699;200;100
36;Activity;699;199;100
36;Activity;699;197;100
36;Activity;699;195;100
36;Activity;699;194;100
36;Activity;699;180;100
36;Activity;699;119;100
36;Activity;699;90;100
36;Activity;699;87;100
36;Activity;699;77;100
36;Activity;699;66;100
36;Activity;699;53;100
36;Activity;699;47;100
36;Activity;699;42;100
36;Activity;699;40;100
36;Activity;699;39;100
36;Activity;699;34;100
36;Activity;699;22;100
36;Activity;699;20;100
36;Activity;700;267;100
36;Activity;700;257;100
36;Activity;700;255;100
36;Activity;700;229;100
36;Activity;700;227;100
36;Activity;700;202;100
36;Activity;700;200;100
36;Activity;700;199;100
36;Activity;700;197;100
36;Activity;700;195;100
36;Activity;700;194;100
36;Activity;700;180;100
36;Activity;700;119;100
36;Activity;700;90;100
36;Activity;700;87;100
36;Activity;700;77;100
36;Activity;700;66;100
36;Activity;700;53;100
36;Activity;700;47;100
36;Activity;700;42;100
36;Activity;700;40;100
36;Activity;700;39;100
36;Activity;700;34;100
36;Activity;700;22;100
36;Activity;700;20;100
36;Activity;701;267;100
36;Activity;701;257;100
36;Activity;701;255;100
36;Activity;701;229;100
36;Activity;701;227;100
36;Activity;701;202;100
36;Activity;701;200;100
36;Activity;701;199;100
36;Activity;701;197;100
36;Activity;701;195;100
36;Activity;701;194;100
36;Activity;701;180;100
36;Activity;701;119;100
36;Activity;701;90;100
36;Activity;701;87;100
36;Activity;701;77;100
36;Activity;701;66;100
36;Activity;701;53;100
36;Activity;701;47;100
36;Activity;701;42;100
36;Activity;701;40;100
36;Activity;701;39;100
36;Activity;701;34;100
36;Activity;701;22;100
36;Activity;701;20;100
36;Activity;702;267;100
36;Activity;702;257;100
36;Activity;702;255;100
36;Activity;702;229;100
36;Activity;702;227;100
36;Activity;702;202;100
36;Activity;702;200;100
36;Activity;702;199;100
36;Activity;702;197;100
36;Activity;702;195;100
36;Activity;702;194;100
36;Activity;702;180;100
36;Activity;702;119;100
36;Activity;702;90;100
36;Activity;702;87;100
36;Activity;702;77;100
36;Activity;702;66;100
36;Activity;702;53;100
36;Activity;702;47;100
36;Activity;702;42;100
36;Activity;702;40;100
36;Activity;702;39;100
36;Activity;702;34;100
