idProject;refType;refId;idResource;rate
69;Activity;656;267;100
69;Activity;656;257;100
69;Activity;656;255;100
69;Activity;656;229;100
69;Activity;656;227;100
69;Activity;656;202;100
69;Activity;656;200;100
69;Activity;656;199;100
69;Activity;656;197;100
69;Activity;656;195;100
69;Activity;656;194;100
69;Activity;656;180;100
69;Activity;656;119;100
69;Activity;656;90;100
69;Activity;656;87;100
69;Activity;656;77;100
69;Activity;656;66;100
69;Activity;656;53;100
69;Activity;656;47;100
69;Activity;656;42;100
69;Activity;656;40;100
69;Activity;656;39;100
69;Activity;656;34;100
69;Activity;656;22;100
69;Activity;656;20;100
69;Activity;657;267;100
69;Activity;657;257;100
69;Activity;657;255;100
69;Activity;657;229;100
69;Activity;657;227;100
69;Activity;657;202;100
69;Activity;657;200;100
69;Activity;657;199;100
69;Activity;657;197;100
69;Activity;657;195;100
69;Activity;657;194;100
69;Activity;657;180;100
69;Activity;657;119;100
69;Activity;657;90;100
69;Activity;657;87;100
69;Activity;657;77;100
69;Activity;657;66;100
69;Activity;657;53;100
69;Activity;657;47;100
69;Activity;657;42;100
69;Activity;657;40;100
69;Activity;657;39;100
69;Activity;657;34;100
69;Activity;657;22;100
69;Activity;657;20;100
69;Activity;658;267;100
69;Activity;658;257;100
69;Activity;658;255;100
69;Activity;658;229;100
69;Activity;658;227;100
69;Activity;658;202;100
69;Activity;658;200;100
69;Activity;658;199;100
69;Activity;658;197;100
69;Activity;658;195;100
69;Activity;658;194;100
69;Activity;658;180;100
69;Activity;658;119;100
69;Activity;658;90;100
69;Activity;658;87;100
69;Activity;658;77;100
69;Activity;658;66;100
69;Activity;658;53;100
69;Activity;658;47;100
69;Activity;658;42;100
69;Activity;658;40;100
69;Activity;658;39;100
69;Activity;658;34;100
69;Activity;658;22;100
69;Activity;658;20;100
69;Activity;659;267;100
69;Activity;659;257;100
69;Activity;659;255;100
69;Activity;659;229;100
69;Activity;659;227;100
69;Activity;659;202;100
69;Activity;659;200;100
69;Activity;659;199;100
69;Activity;659;197;100
69;Activity;659;195;100
69;Activity;659;194;100
69;Activity;659;180;100
69;Activity;659;119;100
69;Activity;659;90;100
69;Activity;659;87;100
69;Activity;659;77;100
69;Activity;659;66;100
69;Activity;659;53;100
69;Activity;659;47;100
69;Activity;659;42;100
69;Activity;659;40;100
69;Activity;659;39;100
69;Activity;659;34;100
69;Activity;659;22;100
69;Activity;659;20;100
69;Activity;660;267;100
69;Activity;660;257;100
69;Activity;660;255;100
69;Activity;660;229;100
69;Activity;660;227;100
69;Activity;660;202;100
69;Activity;660;200;100
69;Activity;660;199;100
69;Activity;660;197;100
69;Activity;660;195;100
69;Activity;660;194;100
69;Activity;660;180;100
69;Activity;660;119;100
69;Activity;660;90;100
69;Activity;660;87;100
69;Activity;660;77;100
69;Activity;660;66;100
69;Activity;660;53;100
69;Activity;660;47;100
69;Activity;660;42;100
69;Activity;660;40;100
69;Activity;660;39;100
69;Activity;660;34;100
69;Activity;660;22;100
69;Activity;660;20;100
