idProject;refType;refId;idResource;rate
74;Activity;737;267;100
74;Activity;737;257;100
74;Activity;737;255;100
74;Activity;737;229;100
74;Activity;737;227;100
74;Activity;737;202;100
74;Activity;737;200;100
74;Activity;737;199;100
74;Activity;737;197;100
74;Activity;737;195;100
74;Activity;737;194;100
74;Activity;737;180;100
74;Activity;737;119;100
74;Activity;737;90;100
74;Activity;737;87;100
74;Activity;737;77;100
74;Activity;737;66;100
74;Activity;737;53;100
74;Activity;737;47;100
74;Activity;737;42;100
74;Activity;737;40;100
74;Activity;737;39;100
74;Activity;737;34;100
74;Activity;737;22;100
74;Activity;737;20;100
74;Activity;738;267;100
74;Activity;738;257;100
74;Activity;738;255;100
74;Activity;738;229;100
74;Activity;738;227;100
74;Activity;738;202;100
74;Activity;738;200;100
74;Activity;738;199;100
74;Activity;738;197;100
74;Activity;738;195;100
74;Activity;738;194;100
74;Activity;738;180;100
74;Activity;738;119;100
74;Activity;738;90;100
74;Activity;738;87;100
74;Activity;738;77;100
74;Activity;738;66;100
74;Activity;738;53;100
74;Activity;738;47;100
74;Activity;738;42;100
74;Activity;738;40;100
74;Activity;738;39;100
74;Activity;738;34;100
74;Activity;738;22;100
74;Activity;738;20;100
74;Activity;739;267;100
74;Activity;739;257;100
74;Activity;739;255;100
74;Activity;739;229;100
74;Activity;739;227;100
74;Activity;739;202;100
74;Activity;739;200;100
74;Activity;739;199;100
74;Activity;739;197;100
74;Activity;739;195;100
74;Activity;739;194;100
74;Activity;739;180;100
74;Activity;739;119;100
74;Activity;739;90;100
74;Activity;739;87;100
74;Activity;739;77;100
74;Activity;739;66;100
74;Activity;739;53;100
74;Activity;739;47;100
74;Activity;739;42;100
74;Activity;739;40;100
74;Activity;739;39;100
74;Activity;739;34;100
74;Activity;739;22;100
74;Activity;739;20;100
74;Activity;740;267;100
74;Activity;740;257;100
74;Activity;740;255;100
74;Activity;740;229;100
74;Activity;740;227;100
74;Activity;740;202;100
74;Activity;740;200;100
74;Activity;740;199;100
74;Activity;740;197;100
74;Activity;740;195;100
74;Activity;740;194;100
74;Activity;740;180;100
74;Activity;740;119;100
74;Activity;740;90;100
74;Activity;740;87;100
74;Activity;740;77;100
74;Activity;740;66;100
74;Activity;740;53;100
74;Activity;740;47;100
74;Activity;740;42;100
74;Activity;740;40;100
74;Activity;740;39;100
74;Activity;740;34;100
74;Activity;740;22;100
74;Activity;740;20;100
74;Activity;741;267;100
74;Activity;741;257;100
74;Activity;741;255;100
74;Activity;741;229;100
74;Activity;741;227;100
74;Activity;741;202;100
74;Activity;741;200;100
74;Activity;741;199;100
74;Activity;741;197;100
74;Activity;741;195;100
74;Activity;741;194;100
74;Activity;741;180;100
74;Activity;741;119;100
74;Activity;741;90;100
74;Activity;741;87;100
74;Activity;741;77;100
74;Activity;741;66;100
74;Activity;741;53;100
74;Activity;741;47;100
74;Activity;741;42;100
74;Activity;741;40;100
74;Activity;741;39;100
74;Activity;741;34;100
74;Activity;741;22;100
74;Activity;741;20;100
74;Activity;742;267;100
74;Activity;742;257;100
74;Activity;742;255;100
74;Activity;742;229;100
74;Activity;742;227;100
74;Activity;742;202;100
74;Activity;742;200;100
74;Activity;742;199;100
74;Activity;742;197;100
74;Activity;742;195;100
74;Activity;742;194;100
74;Activity;742;180;100
74;Activity;742;119;100
74;Activity;742;90;100
74;Activity;742;87;100
74;Activity;742;77;100
74;Activity;742;66;100
74;Activity;742;53;100
74;Activity;742;47;100
74;Activity;742;42;100
74;Activity;742;40;100
74;Activity;742;39;100
74;Activity;742;34;100
74;Activity;742;22;100
74;Activity;742;20;100
