idProject;refType;refId;idResource;rate
75;Activity;778;267;100
75;Activity;778;257;100
75;Activity;778;255;100
75;Activity;778;229;100
75;Activity;778;227;100
75;Activity;778;202;100
75;Activity;778;200;100
75;Activity;778;199;100
75;Activity;778;197;100
75;Activity;778;195;100
75;Activity;778;194;100
75;Activity;778;180;100
75;Activity;778;119;100
75;Activity;778;90;100
75;Activity;778;87;100
75;Activity;778;77;100
75;Activity;778;66;100
75;Activity;778;53;100
75;Activity;778;47;100
75;Activity;778;42;100
75;Activity;778;40;100
75;Activity;778;39;100
75;Activity;778;34;100
75;Activity;778;22;100
75;Activity;778;20;100
75;Activity;779;267;100
75;Activity;779;257;100
75;Activity;779;255;100
75;Activity;779;229;100
75;Activity;779;227;100
75;Activity;779;202;100
75;Activity;779;200;100
75;Activity;779;199;100
75;Activity;779;197;100
75;Activity;779;195;100
75;Activity;779;194;100
75;Activity;779;180;100
75;Activity;779;119;100
75;Activity;779;90;100
75;Activity;779;87;100
75;Activity;779;77;100
75;Activity;779;66;100
75;Activity;779;53;100
75;Activity;779;47;100
75;Activity;779;42;100
75;Activity;779;40;100
75;Activity;779;39;100
75;Activity;779;34;100
75;Activity;779;22;100
75;Activity;779;20;100
75;Activity;780;267;100
75;Activity;780;257;100
75;Activity;780;255;100
75;Activity;780;229;100
75;Activity;780;227;100
75;Activity;780;202;100
75;Activity;780;200;100
75;Activity;780;199;100
75;Activity;780;197;100
75;Activity;780;195;100
75;Activity;780;194;100
75;Activity;780;180;100
75;Activity;780;119;100
75;Activity;780;90;100
75;Activity;780;87;100
75;Activity;780;77;100
75;Activity;780;66;100
75;Activity;780;53;100
75;Activity;780;47;100
75;Activity;780;42;100
75;Activity;780;40;100
75;Activity;780;39;100
75;Activity;780;34;100
75;Activity;780;22;100
75;Activity;780;20;100
75;Activity;781;267;100
75;Activity;781;257;100
75;Activity;781;255;100
75;Activity;781;229;100
75;Activity;781;227;100
75;Activity;781;202;100
75;Activity;781;200;100
75;Activity;781;199;100
75;Activity;781;197;100
75;Activity;781;195;100
75;Activity;781;194;100
75;Activity;781;180;100
75;Activity;781;119;100
75;Activity;781;90;100
75;Activity;781;87;100
75;Activity;781;77;100
75;Activity;781;66;100
75;Activity;781;53;100
75;Activity;781;47;100
75;Activity;781;42;100
75;Activity;781;40;100
75;Activity;781;39;100
75;Activity;781;34;100
75;Activity;781;22;100
75;Activity;781;20;100
75;Activity;782;267;100
75;Activity;782;257;100
75;Activity;782;255;100
75;Activity;782;229;100
75;Activity;782;227;100
75;Activity;782;202;100
75;Activity;782;200;100
75;Activity;782;199;100
75;Activity;782;197;100
75;Activity;782;195;100
75;Activity;782;194;100
75;Activity;782;180;100
75;Activity;782;119;100
75;Activity;782;90;100
75;Activity;782;87;100
75;Activity;782;77;100
75;Activity;782;66;100
75;Activity;782;53;100
75;Activity;782;47;100
75;Activity;782;42;100
75;Activity;782;40;100
75;Activity;782;39;100
75;Activity;782;34;100
75;Activity;782;22;100
75;Activity;782;20;100
75;Activity;783;267;100
75;Activity;783;257;100
75;Activity;783;255;100
75;Activity;783;229;100
75;Activity;783;227;100
75;Activity;783;202;100
75;Activity;783;200;100
75;Activity;783;199;100
75;Activity;783;197;100
75;Activity;783;195;100
75;Activity;783;194;100
75;Activity;783;180;100
75;Activity;783;119;100
75;Activity;783;90;100
75;Activity;783;87;100
75;Activity;783;77;100
75;Activity;783;66;100
75;Activity;783;53;100
75;Activity;783;47;100
75;Activity;783;42;100
75;Activity;783;40;100
75;Activity;783;39;100
75;Activity;783;34;100
75;Activity;783;22;100
75;Activity;783;20;100
75;Activity;784;267;100
75;Activity;784;257;100
75;Activity;784;255;100
75;Activity;784;229;100
75;Activity;784;227;100
75;Activity;784;202;100
75;Activity;784;200;100
75;Activity;784;199;100
75;Activity;784;197;100
75;Activity;784;195;100
75;Activity;784;194;100
75;Activity;784;180;100
75;Activity;784;119;100
75;Activity;784;90;100
75;Activity;784;87;100
75;Activity;784;77;100
75;Activity;784;66;100
75;Activity;784;53;100
75;Activity;784;47;100
75;Activity;784;42;100
75;Activity;784;40;100
75;Activity;784;39;100
75;Activity;784;34;100
75;Activity;784;22;100
75;Activity;784;20;100
75;Activity;785;267;100
75;Activity;785;257;100
75;Activity;785;255;100
75;Activity;785;229;100
75;Activity;785;227;100
75;Activity;785;202;100
75;Activity;785;200;100
75;Activity;785;199;100
75;Activity;785;197;100
75;Activity;785;195;100
75;Activity;785;194;100
75;Activity;785;180;100
75;Activity;785;119;100
75;Activity;785;90;100
75;Activity;785;87;100
75;Activity;785;77;100
75;Activity;785;66;100
75;Activity;785;53;100
75;Activity;785;47;100
75;Activity;785;42;100
75;Activity;785;40;100
75;Activity;785;39;100
75;Activity;785;34;100
75;Activity;785;22;100
75;Activity;785;20;100
75;Activity;786;267;100
75;Activity;786;257;100
75;Activity;786;255;100
75;Activity;786;229;100
75;Activity;786;227;100
75;Activity;786;202;100
75;Activity;786;200;100
75;Activity;786;199;100
75;Activity;786;197;100
75;Activity;786;195;100
75;Activity;786;194;100
75;Activity;786;180;100
75;Activity;786;119;100
75;Activity;786;90;100
75;Activity;786;87;100
75;Activity;786;77;100
75;Activity;786;66;100
75;Activity;786;53;100
75;Activity;786;47;100
75;Activity;786;42;100
75;Activity;786;40;100
75;Activity;786;39;100
75;Activity;786;34;100
75;Activity;786;22;100
75;Activity;786;20;100
75;Activity;787;267;100
75;Activity;787;257;100
75;Activity;787;255;100
75;Activity;787;229;100
75;Activity;787;227;100
75;Activity;787;202;100
75;Activity;787;200;100
75;Activity;787;199;100
75;Activity;787;197;100
75;Activity;787;195;100
75;Activity;787;194;100
75;Activity;787;180;100
75;Activity;787;119;100
75;Activity;787;90;100
75;Activity;787;87;100
75;Activity;787;77;100
75;Activity;787;66;100
75;Activity;787;53;100
75;Activity;787;47;100
75;Activity;787;42;100
75;Activity;787;40;100
75;Activity;787;39;100
75;Activity;787;34;100
75;Activity;787;22;100
75;Activity;787;20;100
75;Activity;788;267;100
75;Activity;788;257;100
75;Activity;788;255;100
75;Activity;788;229;100
75;Activity;788;227;100
75;Activity;788;202;100
75;Activity;788;200;100
75;Activity;788;199;100
75;Activity;788;197;100
75;Activity;788;195;100
75;Activity;788;194;100
75;Activity;788;180;100
75;Activity;788;119;100
75;Activity;788;90;100
75;Activity;788;87;100
75;Activity;788;77;100
75;Activity;788;66;100
75;Activity;788;53;100
75;Activity;788;47;100
75;Activity;788;42;100
75;Activity;788;40;100
75;Activity;788;39;100
75;Activity;788;34;100
75;Activity;788;22;100
75;Activity;788;20;100
75;Activity;789;267;100
75;Activity;789;257;100
75;Activity;789;255;100
75;Activity;789;229;100
75;Activity;789;227;100
75;Activity;789;202;100
75;Activity;789;200;100
75;Activity;789;199;100
75;Activity;789;197;100
75;Activity;789;195;100
75;Activity;789;194;100
75;Activity;789;180;100
75;Activity;789;119;100
75;Activity;789;90;100
75;Activity;789;87;100
75;Activity;789;77;100
75;Activity;789;66;100
75;Activity;789;53;100
