id;closed
44461;1
44462;1
44463;1
44464;1
44465;1
44466;1
44467;1
44468;1
44469;1
44470;1
44471;1
44472;1
44473;1
44474;1
44475;1
44476;1
44477;1
44478;1
44479;1
44480;1
44481;1
44482;1
44483;1
44484;1
44485;1
44486;1
44487;1
44488;1
44489;1
44490;1
44491;1
44492;1
44493;1
44494;1
44495;1
44496;1
44497;1
44498;1
44499;1
44500;1
44501;1
44502;1
44503;1
44504;1
44505;1
44506;1
44507;1
44508;1
44509;1
44510;1
44511;1
44512;1
44513;1
44514;1
44515;1
44516;1
44517;1
44518;1
44519;1
44520;1
44521;1
44522;1
44523;1
44524;1
44525;1
44526;1
44527;1
44528;1
44529;1
44530;1
44531;1
44532;1
44533;1
44534;1
44535;1
44536;1
44537;1
44538;1
44539;1
44540;1
44541;1
44542;1
44543;1
44544;1
44545;1
44546;1
44547;1
44548;1
44549;1
44550;1
44551;1
44552;1
44553;1
44554;1
44555;1
44556;1
44557;1
44558;1
44559;1
44560;1
44561;1
44562;1
44563;1
44564;1
44565;1
44566;1
44567;1
44568;1
44569;1
44570;1
44571;1
44572;1
44573;1
44574;1
44575;1
44576;1
44577;1
44578;1
44579;1
44580;1
44581;1
44582;1
44583;1
44584;1
44585;1
44586;1
44587;1
44588;1
44589;1
44590;1
44591;1
44592;1
44593;1
44594;1
44595;1
44596;1
44597;1
44598;1
44599;1
44600;1
44601;1
44602;1
44603;1
44604;1
44605;1
44606;1
44607;1
44608;1
44609;1
44610;1
44611;1
44612;1
44613;1
44614;1
44615;1
44616;1
44617;1
44618;1
44619;1
44620;1
44621;1
44622;1
44623;1
44624;1
44625;1
44626;1
44627;1
44628;1
44629;1
44630;1
44631;1
44632;1
44633;1
44634;1
44635;1
44636;1
44637;1
44638;1
44639;1
44640;1
44641;1
44642;1
44643;1
44644;1
44645;1
44646;1
44647;1
44648;1
44649;1
44650;1
44651;1
44652;1
44653;1
44654;1
44655;1
44656;1
44657;1
44658;1
44659;1
44660;1
44661;1
44662;1
44663;1
44664;1
44665;1
44666;1
44667;1
44668;1
44669;1
44670;1
44671;1
44672;1
44673;1
44674;1
44675;1
44676;1
44677;1
44678;1
44679;1
44680;1
44681;1
44682;1
44683;1
44684;1
44685;1
44686;1
44687;1
44688;1
44689;1
44690;1
44691;1
44692;1
44693;1
44694;1
44695;1
44696;1
44697;1
44698;1
44699;1
44700;1
44701;1
44702;1
44703;1
44704;1
44705;1
44706;1
44707;1
44708;1
44709;1
44710;1
44711;1
44712;1
44713;1
44714;1
44715;1
44716;1
44717;1
44718;1
44719;1
44720;1
44721;1
44722;1
44723;1
44724;1
44725;1
44726;1
44727;1
44728;1
44729;1
44730;1
44731;1
44732;1
44733;1
44734;1
44735;1
44736;1
44737;1
44738;1
44739;1
44740;1
44741;1
44742;1
44743;1
44744;1
44745;1
44746;1
44747;1
44748;1
44749;1
44750;1
44751;1
44752;1
44753;1
44754;1
44755;1
44756;1
44757;1
44758;1
44759;1
44760;1
44761;1
44762;1
44763;1
44764;1
44765;1
44766;1
44767;1
44768;1
44769;1
44770;1
44771;1
44772;1
44773;1
44774;1
44775;1
44776;1
44777;1
44778;1
44779;1
44780;1
44781;1
44782;1
44783;1
44784;1
44785;1
44786;1
44787;1
44788;1
44789;1
44790;1
44791;1
44792;1
44793;1
44794;1
44795;1
44796;1
44797;1
44798;1
44799;1
44800;1
44801;1
44802;1
44803;1
44804;1
44805;1
44806;1
44807;1
44808;1
44809;1
44810;1
44811;1
44812;1
44813;1
44814;1
44815;1
44816;1
44817;1
44818;1
44819;1
44820;1
44821;1
44822;1
44823;1
44824;1
44825;1
44826;1
44827;1
44828;1
44829;1
44830;1
44831;1
44832;1
44833;1
44834;1
44835;1
44836;1
44837;1
44838;1
44839;1
44840;1
44841;1
44842;1
44843;1
44844;1
44845;1
44846;1
44847;1
44848;1
44849;1
44850;1
44851;1
44852;1
44853;1
44854;1
44855;1
44856;1
44857;1
44858;1
44859;1
44860;1
44861;1
44862;1
44863;1
