idProject;refType;refId;idResource;rate
37;Activity;813;267;100
37;Activity;813;257;100
37;Activity;813;255;100
37;Activity;813;229;100
37;Activity;813;227;100
37;Activity;813;202;100
37;Activity;813;200;100
37;Activity;813;199;100
37;Activity;813;197;100
37;Activity;813;195;100
37;Activity;813;194;100
37;Activity;813;180;100
37;Activity;813;119;100
37;Activity;813;90;100
37;Activity;813;87;100
37;Activity;813;77;100
37;Activity;813;66;100
37;Activity;813;53;100
37;Activity;813;47;100
37;Activity;813;42;100
37;Activity;813;40;100
37;Activity;813;39;100
37;Activity;813;34;100
37;Activity;813;22;100
37;Activity;813;20;100
37;Activity;814;267;100
37;Activity;814;257;100
37;Activity;814;255;100
37;Activity;814;229;100
37;Activity;814;227;100
37;Activity;814;202;100
37;Activity;814;200;100
37;Activity;814;199;100
37;Activity;814;197;100
37;Activity;814;195;100
37;Activity;814;194;100
37;Activity;814;180;100
37;Activity;814;119;100
37;Activity;814;90;100
37;Activity;814;87;100
37;Activity;814;77;100
37;Activity;814;66;100
37;Activity;814;53;100
37;Activity;814;47;100
37;Activity;814;42;100
37;Activity;814;40;100
37;Activity;814;39;100
37;Activity;814;34;100
37;Activity;814;22;100
37;Activity;814;20;100
37;Activity;815;267;100
37;Activity;815;257;100
37;Activity;815;255;100
37;Activity;815;229;100
37;Activity;815;227;100
37;Activity;815;202;100
37;Activity;815;200;100
37;Activity;815;199;100
37;Activity;815;197;100
37;Activity;815;195;100
37;Activity;815;194;100
37;Activity;815;180;100
37;Activity;815;119;100
37;Activity;815;90;100
37;Activity;815;87;100
37;Activity;815;77;100
37;Activity;815;66;100
37;Activity;815;53;100
37;Activity;815;47;100
37;Activity;815;42;100
37;Activity;815;40;100
37;Activity;815;39;100
37;Activity;815;34;100
37;Activity;815;22;100
37;Activity;815;20;100
37;Activity;816;267;100
37;Activity;816;257;100
37;Activity;816;255;100
37;Activity;816;229;100
37;Activity;816;227;100
37;Activity;816;202;100
37;Activity;816;200;100
37;Activity;816;199;100
37;Activity;816;197;100
37;Activity;816;195;100
37;Activity;816;194;100
37;Activity;816;180;100
37;Activity;816;119;100
37;Activity;816;90;100
37;Activity;816;87;100
37;Activity;816;77;100
37;Activity;816;66;100
37;Activity;816;53;100
37;Activity;816;47;100
37;Activity;816;42;100
37;Activity;816;40;100
37;Activity;816;39;100
37;Activity;816;34;100
37;Activity;816;22;100
37;Activity;816;20;100
37;Activity;817;267;100
37;Activity;817;257;100
37;Activity;817;255;100
37;Activity;817;229;100
37;Activity;817;227;100
37;Activity;817;202;100
37;Activity;817;200;100
37;Activity;817;199;100
37;Activity;817;197;100
37;Activity;817;195;100
37;Activity;817;194;100
37;Activity;817;180;100
37;Activity;817;119;100
37;Activity;817;90;100
37;Activity;817;87;100
37;Activity;817;77;100
37;Activity;817;66;100
37;Activity;817;53;100
37;Activity;817;47;100
37;Activity;817;42;100
37;Activity;817;40;100
37;Activity;817;39;100
37;Activity;817;34;100
37;Activity;817;22;100
37;Activity;817;20;100
37;Activity;818;267;100
37;Activity;818;257;100
37;Activity;818;255;100
37;Activity;818;229;100
37;Activity;818;227;100
37;Activity;818;202;100
37;Activity;818;200;100
37;Activity;818;199;100
37;Activity;818;197;100
37;Activity;818;195;100
37;Activity;818;194;100
37;Activity;818;180;100
37;Activity;818;119;100
37;Activity;818;90;100
37;Activity;818;87;100
37;Activity;818;77;100
37;Activity;818;66;100
37;Activity;818;53;100
37;Activity;818;47;100
37;Activity;818;42;100
37;Activity;818;40;100
37;Activity;818;39;100
37;Activity;818;34;100
37;Activity;818;22;100
37;Activity;818;20;100
37;Activity;819;267;100
37;Activity;819;257;100
37;Activity;819;255;100
37;Activity;819;229;100
37;Activity;819;227;100
37;Activity;819;202;100
37;Activity;819;200;100
37;Activity;819;199;100
37;Activity;819;197;100
37;Activity;819;195;100
37;Activity;819;194;100
37;Activity;819;180;100
37;Activity;819;119;100
37;Activity;819;90;100
37;Activity;819;87;100
37;Activity;819;77;100
37;Activity;819;66;100
37;Activity;819;53;100
37;Activity;819;47;100
37;Activity;819;42;100
37;Activity;819;40;100
37;Activity;819;39;100
37;Activity;819;34;100
37;Activity;819;22;100
37;Activity;819;20;100
37;Activity;820;267;100
37;Activity;820;257;100
37;Activity;820;255;100
37;Activity;820;229;100
37;Activity;820;227;100
37;Activity;820;202;100
37;Activity;820;200;100
37;Activity;820;199;100
37;Activity;820;197;100
37;Activity;820;195;100
37;Activity;820;194;100
37;Activity;820;180;100
37;Activity;820;119;100
37;Activity;820;90;100
37;Activity;820;87;100
37;Activity;820;77;100
37;Activity;820;66;100
37;Activity;820;53;100
37;Activity;820;47;100
37;Activity;820;42;100
37;Activity;820;40;100
37;Activity;820;39;100
37;Activity;820;34;100
37;Activity;820;22;100
37;Activity;820;20;100
37;Activity;821;267;100
37;Activity;821;257;100
37;Activity;821;255;100
37;Activity;821;229;100
37;Activity;821;227;100
37;Activity;821;202;100
37;Activity;821;200;100
37;Activity;821;199;100
37;Activity;821;197;100
37;Activity;821;195;100
37;Activity;821;194;100
37;Activity;821;180;100
37;Activity;821;119;100
37;Activity;821;90;100
37;Activity;821;87;100
37;Activity;821;77;100
37;Activity;821;66;100
37;Activity;821;53;100
37;Activity;821;47;100
37;Activity;821;42;100
37;Activity;821;40;100
37;Activity;821;39;100
37;Activity;821;34;100
37;Activity;821;22;100
37;Activity;821;20;100
37;Activity;822;267;100
37;Activity;822;257;100
37;Activity;822;255;100
37;Activity;822;229;100
37;Activity;822;227;100
37;Activity;822;202;100
37;Activity;822;200;100
37;Activity;822;199;100
37;Activity;822;197;100
37;Activity;822;195;100
37;Activity;822;194;100
37;Activity;822;180;100
37;Activity;822;119;100
37;Activity;822;90;100
37;Activity;822;87;100
37;Activity;822;77;100
37;Activity;822;66;100
37;Activity;822;53;100
37;Activity;822;47;100
37;Activity;822;42;100
37;Activity;822;40;100
37;Activity;822;39;100
37;Activity;822;34;100
37;Activity;822;22;100
37;Activity;822;20;100
37;Activity;823;267;100
37;Activity;823;257;100
37;Activity;823;255;100
37;Activity;823;229;100
37;Activity;823;227;100
37;Activity;823;202;100
37;Activity;823;200;100
37;Activity;823;199;100
37;Activity;823;197;100
37;Activity;823;195;100
37;Activity;823;194;100
37;Activity;823;180;100
37;Activity;823;119;100
37;Activity;823;90;100
